ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
yi wudingluquan,,20,yiw,ywq,{},25.5,102.5,Eurasia,,Yi (Wuding-Luquan),2588,False,False
yugh,,335,yug,yug,{},61.0,90.0,Eurasia,,Yugh,2622,False,False
yukaghir kolyma,,556,yko,yux,{},65.75,150.833333333,Eurasia,,Yukaghir (Kolyma),2592,False,True
yukaghir tundra,,556,ytu,ykg,{},69.0,155.0,Eurasia,,Yukaghir (Tundra),2620,False,False
yupik naukan,,91,yna,ynk,{},66.0,-172.0,Eurasia,,Yupik (Naukan),2603,False,False
yupik siberian,,91,yus,ess,{},65.0,-173.0,Eurasia,,Yupik (Siberian),2627,False,False
yupik sirenik,,91,ysi,ysr,{},64.5,-174.0,Eurasia,,Yupik (Sirenik),2617,False,False
yupik st lawrence island,,91,ysl,ess,{},63.5,-170.5,Eurasia,,Yupik (St. Lawrence Island),2618,False,False
yurt tatar,,83,yta,nog,{},46.3333333333,48.5,Eurasia,,Yurt Tatar,2619,False,False
zazaki,,138,zaz,diq,{},39.0,41.0,Eurasia,,Zazaki,2643,False,False
zhuang northern,,237,zhn,zgb,{},24.0,108.0,Eurasia,,Zhuang (Northern),2647,False,False
